zotero_uri,source_reference
https://www.zotero.org/groups/4678659/items/4gpl45z4,"Maillard, Pepping, Kuruppath et al. (2024). GLOBALISE - Namebooks of the Dutch East India Company (1730-1794)"
https://www.zotero.org/groups/4678659/items/3hcasita,Nationaal Archief. VOC: Oost-Indische testamenten
https://www.zotero.org/groups/4678659/items/3HCASITA,Nationaal Archief. VOC: Oost-Indische testamenten
https://www.zotero.org/groups/4678659/items/awd4ct6l,"Pepping, Mundakkal, Kuruppath (2025). GLOBALISE - VOC Census Records of Cochin (1700-1775)"
https://www.zotero.org/groups/4678659/items/3Y86C5R6,"Petram, L., Koolen, M., Wevers, M. et al. (2024). The Dutch East India Company's Eighteenth-Century Workforce: an Enriched Data Collection"
https://www.zotero.org/groups/4678659/items/3y86c5r6,"Petram, L., Koolen, M., Wevers, M. et al. (2024). The Dutch East India Company's Eighteenth-Century Workforce: an Enriched Data Collection"
https://www.zotero.org/groups/4678659/items/q8uhyee5,Unknown Author (1700). Rolle der Huijsgesinnen 1700
https://www.zotero.org/groups/4678659/items/v39njnba,Unknown Author (1715). Rolle der Huijsgesinnen 1715
https://www.zotero.org/groups/4678659/items/rdtw6j5n,Unknown Author (1725). Rolle der Huijsgesinnen 1725
https://www.zotero.org/groups/4678659/items/uucbv7xu,Unknown Author (1740). Rolle der Huijsgesinnen 1740
https://www.zotero.org/groups/4678659/items/urdptxad,Unknown Author (1745). Rolle der Huijsgesinnen 1745
https://www.zotero.org/groups/4678659/items/2dfbskfv,Unknown Author (1755). Rolle der Huijsgesinnen 1755
https://www.zotero.org/groups/4678659/items/qby4i5wp,Unknown Author (1760). Rolle der Huijsgesinnen 1760
https://www.zotero.org/groups/4678659/items/xu6ymlhw,Unknown Author (1765). Rolle der Huijsgesinnen 1765
https://www.zotero.org/groups/4678659/items/8g6ugnn5,Unknown Author (1775). Rolle der Huijsgesinnen 1775
